'Name'	'Set'	'Number'	'Rarity'	'Type'	'Keywords'	'Color'	'Cost'	'Req'	'Power'	'Boosted'	'Points'	'Problem Req'	'Color'	'Problem Req'	'Color'	'Opponent Req'	'Text'
'Rainbow Dash, Flier Extraordinaire'	'Premiere'	1	'F'	'Mane'	'[Pegasus] Pegasus'	'Blue'			1	3							'Front: Home Limit 3 <P> When you confront this card''s Problem, if you have a  Troublemaker at that Problem, turn this card over. Back: Home Limit 4, Swift (You may  move this card for 1 fewer action tokens.) <P> When you move this card from home to a  Problem, you may pay [1] to move another one of your Friends from home to that  Problem. '
'Applejack, Steadfast Farmpony'	'Premiere'	2	'F'	'Mane'	'[Earth Pony] Earth Pony'	'Orange'			1	3							'Front: Home Limit 3 <P> When you confront this card''s Problem with more power than  required, turn this card over. Back: Home Limit 4, Stubborn. (This card can still apply  its power during faceoffs and the Score Phase even if exhausted.) <P> When one of your  Friends here would be dismissed, you may put that Friend on top of your deck instead.  This card has received errata '
'Pinkie Pie, Party Animal'	'Premiere'	3	'F'	'Mane'	'[Earth Pony] Earth Pony'	'Pink'			1	3							'Front: Home Limit 3 <P> When you confront this card''s Problem, if none of your  opponent''s Friends are at that Problem, turn this card over. Back: Home Limit 5, Random  (During a faceoff involving this card, if you flip a card with 1 power, you may ignore it  and flip a new card.) <P> Your opponent needs +[1 wild] to confront this card''s Problem. '
'Twilight Sparkle, Faithful Student'	'Premiere'	4	'F'	'Mane'	'[Unicorn] Unicorn'	'Purple'			1	3							'Front: Home Limit 3 <P> When you win a faceoff involving this card, turn this card over.  Back: Home Limit 4, Studious (When you win a faceoff involving at least one of your  characters with this keyword, gain [1 action].) <P>During a faceoff involving this card,  if you would put a flipped Event card on the bottom of your deck, you may put it into  your hand instead.  This card has received errata '
'Rarity, Dazzling Fashionista'	'Premiere'	5	'F'	'Mane'	'[Unicorn] Unicorn'	'White'			1	3							'Front: Home Limit 3 <P> When you score at least 2 points with this card during one  Score Phase, turn this card over. Back: Home Limit 4, Inspired (At the start of your Main  Phase, look at the top card of an opponent''s deck and put it on either the top or the  bottom of that deck.) <P> Your opponent must pay +[1 action] to move a character to this  card''s Problem.  This card has received errata '
'Fluttershy, Beastmaster'	'Premiere'	6	'F'	'Mane'	'[Pegasus] Pegasus'	'Yellow'			1	3							'Front: Home Limit 3 <P> When you confront this card''s Problem, if you have a [Critter]  Friend at that Problem, turn this card over. Back: Home Limit 5, Caretaker (+1 power  while at a Problem with at least one of your [Critter] Friends). <P> At the start of a  faceoff involving this card, you may move a [Critter] Friend to this card''s Problem. '
'Jetstream, All Heart'	'Premiere'	7	'C'	'Friend'	'[Pegasus] Pegasus'	'Blue'	3	1	2								'While involved in a faceoff, this card gets +2 power. '
'Cerulean Skies, Skyward Soarer'	'Premiere'	8	'C'	'Friend'	'[Pegasus] Pegasus'	'Blue'	1	1	1								'Swift (You may move this card for 1 fewer action tokens.) '
'Finish Line, Jammer'	'Premiere'	9	'U'	'Friend'	'[Earth Pony] Earth Pony, Foal'	'Blue'	3	2	2								'Swift (You may move this card for 1 fewer action tokens.) '
'Wild Fire, Speed Racer'	'Premiere'	10	'R'	'Friend'	'[Pegasus] Pegasus'	'Blue'	2	2	2								'When you move this card to a Problem, you may move another one of your characters to  the same Problem for free. '
'Cloudchaser, Flexible Flier'	'Premiere'	11	'R'	'Friend'	'[Pegasus] Pegasus'	'Blue'	2	0	1								'Main Phase: Exhaust this card to reduce by [1 action] the cost of the next Friend you play  this turn. '
'Emerald Green, Cider Aficionado'	'Premiere'	12	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Blue'	2	0	2								
'Holly Dash, Flighty Filly'	'Premiere'	13	'F'	'Friend'	'[Unicorn] Unicorn'	'Blue'	4	2	4								'When you move this card to a Problem, you may move another one of your characters to  the same Problem for free. '
'Pegasus Royal Guard, Elite Sentry'	'Premiere'	14	'C'	'Friend'	'[Pegasus] Pegasus'	'Blue'	1	1	1								'While involved in a faceoff, this card gets +1 power. '
'Rainbow Dash, Weather Leader'	'Premiere'	15	'U'	'Friend'	'[Pegasus] Pegasus'	'Blue'	3	2	2								'Main Phase: Exhaust this card to ready another one of your cards. '
'Rainbowshine, Cloud Wrangler'	'Premiere'	16	'C'	'Friend'	'[Pegasus] Pegasus'	'Blue'	2	1	2								'When you move this card to a Problem, ready one of your characters there. '
'Scootaloo, Creature Catcher'	'Premiere'	17	'R'	'Friend'	'[Pegasus] Pegasus, Foal'	'Blue'	2	1	2								'Main Phase: Exhaust this card to play a Troublemaker for free. '
'Spike, Baby Dragon'	'Premiere'	18	'R'	'Friend'	'[Dragon] Dragon'	'Blue'	2	1	0								'Swift (You may move this card for 1 fewer action tokens) <P> Main Phase: Pay [1 action]  to give this card +1 power until the end of the turn. '
'Solar Wind, Enterprising Astronomer'	'Premiere'	19	'R'	'Friend'	'[Pegasus] Pegasus'	'Blue'	1	1	1								'When you play a [Pegasus] Friend to this card''s Problem, you may exhaust this card. If  you do, gain [1 action]. '
'Sweetie Sunrise, Early Riser'	'Premiere'	20	'C'	'Friend'	'[Pegasus] Pegasus'	'Blue'	1	0	1								
'Gala Appleby, Refined Farmer'	'Premiere'	21	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	1	1	1								'When you move this card to a Problem, it gets +1 power until the end of the turn. '
'Apple Cobbler, Headstrong'	'Premiere'	22	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	1	1	1								'Stubborn (This card can still apply its power during faceoffs and the Score Phase even if  exhausted.) '
'Applejack, Plant Leader'	'Premiere'	23	'C'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	3	2	2								'Stubborn (This card can still apply its power during faceoffs and the Score Phase even if  exhausted.) <P> When you win a faceoff involving this card, your opponent discards a  random card. '
'Applejack, Barn Raiser'	'Premiere'	24	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	3	2	2								'Main Phase: Exhaust this card to add its power to the power of another [orange] Friend  until the end of the turn. '
'Auntie Applesauce, Gum Flapper'	'Premiere'	25	'U'	'Friend'	'[Earth Pony] Earth Pony, Elder'	'Orange'	2	0	1								'When this card is dismissed, put it into your hand. '
'Cherry Jubilee, Queen of the Hill'	'Premiere'	26	'F'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	1	0	1								'This card gets +1 power for each Resource on it. '
'Coco Crusoe, Thick Skinned'	'Premiere'	27	'R'	'Friend'	'[Earth Pony] Earth Pony'	'Orange'	3	0	2								'When you uncover a Troublemaker at this card''s Problem, an opponent discards 2  random cards.  This card has received errata '
'Granny Smith, Apple Elder'	'Premiere'	28	'C'	'Friend'	'[Earth Pony] Earth Pony, Elder'	'Orange'	2	1	2								'When you play this card, you may reattach a Resource from one Friend to another.  This card has received errata '
